state,x,y
Madhya Pradesh,-85,27
Himachal Pradesh,-93,224
Punjab,-126,188
Uttarakhand,-61,183
Haryana,-114,165
Uttar Pradesh,-23,113
Rajasthan,-173,112
Gujrat,-210,35
Bihar,74,84
Sikkim,122,106
Meghalaya,164,74
Assam,205,109
Arunanchal Pradesh,227,156
Nagaland,251,106
Manipur,228,70
Mizoram,212,39
West Bengal,104,22
Jharkhand,53,39
Chhattisgarh,-9,2
Odisha,45,-24
Telangana,-61,-91
Maharashtra,-146,-46
Karnataka,-138,-137
Andhra Pradesh,-63,-149
Kerala,-131,-233
Tamil Nadu,-86,-228
Goa,-177,-134
Tripura,185,47
